company,parent_company,penalty_amount,subtraction_from_penalty,penalty_amount_adjusted,penalty_year,penalty_date,primary_offense,secondary_offense,description,level_of_government,action_type,agency,court,civil_criminal,info_source,prosecution_agr,case_id,private_litigation,lawsuit_resolution,facility_state,city,address,zip,naics_code,naics_translation,hq_country_of_parent,code3,hq_state_of_parent,ownership_structure,parent_company_stock_ticker,major_industry_of_parent,specific_industry_of_parent,info_source_archive_url,pacer_link,captured_document,epa_osha_more,notes,,,
ABB Ltd,,19000000.0,,,,Foreign Corrupt Practices Act , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB VETCO,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGA Medical Corporatio,,2000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCO,,1600000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,,0,,,,Participation in Scheme To , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil Executives Plead Guilty,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aibel Group Ltd.,,4200000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airbus,,3900000000.0,,,,Foreign Bribery and ITAR , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telesystems Pjsc,,850000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akzo Nobel Acknowledges Improper,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Subsidiaries Agree,,92000000.0,,,,Foreign Corrupt Practices Act , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcoa World Alumi,,223000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADM Subsidiary,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,2000000000.0,,,,$2 Billion Fraud and , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliance One International Inc.,,0,,,,Related FCPA Matters Involving , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alstom,,772000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuelan Money Laundering Scheme,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Businessm,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employees of Military,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Former Regional Director of ITXC Corp,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuelan National Treasurer,,1000000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,,0,,,,Participation in Foreign Bribery , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aon Corporatio,,1760000.0,,,,Violations of the Foreign , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plead Guilty,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avon Chi,,8000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADM Subsidiary,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Holdings,,10200000.0,,,,Violations of the Foreign , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAE Systems PLC,,400000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Individuals,,800000000.0,,,,Involvement in Foreign Bribery , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker Hughes Subsidiary,,11000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retired U.S. Army Colonel Indicted,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Individuals,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kickbacks,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,,0,,,,Scheme to Bribe Officials , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guilty,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employees of Military,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German Engineering Firm Bilfinger Resolves,,32000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Medical Device Company Resolves,,17200000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB Ltd,,19000000.0,,,,Foreign Corrupt Practices Act , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB VETCO,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGA Medical Corporatio,,2000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGCO,,1600000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme,,0,,,,Participation in Scheme To , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oil Executives Plead Guilty,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aibel Group Ltd.,,4200000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airbus,,3900000000.0,,,,Foreign Bribery and ITAR , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telesystems Pjsc,,850000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akzo Nobel Acknowledges Improper,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Subsidiaries Agree,,92000000.0,,,,Foreign Corrupt Practices Act , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcoa World Alumi,,223000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADM Subsidiary,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,2000000000.0,,,,$2 Billion Fraud and , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliance One International Inc.,,0,,,,Related FCPA Matters Involving , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alstom,,772000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuelan Money Laundering Scheme,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Businessm,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employees of Military,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Former Regional Director of ITXC Corp,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuelan National Treasurer,,1000000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,,0,,,,Participation in Foreign Bribery , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aon Corporatio,,1760000.0,,,,Violations of the Foreign , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plead Guilty,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avon Chi,,8000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADM Subsidiary,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Holdings,,10200000.0,,,,Violations of the Foreign , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAE Systems PLC,,400000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Individuals,,800000000.0,,,,Involvement in Foreign Bribery , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker Hughes Subsidiary,,11000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retired U.S. Army Colonel Indicted,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five Individuals,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kickbacks,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,,0,,,,Scheme to Bribe Officials , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guilty,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employees of Military,,0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German Engineering Firm Bilfinger Resolves,,32000000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Medical Device Company Resolves,,17200000.0,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
